experiment_name,transfer_type,topology,inertia_strategy,init_strategy,accuracy_mean,accuracy_std,fitness_mean,fitness_std,num_features_mean,num_features_std,runtime_mean,runtime_std
EXP-P3_inertia_fixed,sigmoid,gbest,fixed,sparse,0.7115773232822914,0.010770128331020819,0.6984719719064433,0.009192430502742033,293.6333333333333,16.09240676703008,261.8126349687576,46.83011463178284
EXP-P3_inertia_linear_decay,sigmoid,gbest,linear_decay,sparse,0.7143468962728423,0.010517721647345787,0.6994074447407961,0.008330794192810043,304.53333333333336,15.19371214973118,286.30594221750897,60.877738205680515
EXP-P3_inertia_random,sigmoid,gbest,random,sparse,0.7162563873469393,0.009946940319172733,0.7014974152789121,0.008154047637072373,301.93333333333334,13.08162409217177,285.6268637418747,46.50250170500959
