experiment_name,mutation_type,crossover_type,survivor_method,selection_method,accuracy_mean,accuracy_std,fitness_mean,fitness_std,num_features_mean,num_features_std,runtime_mean,runtime_std
EXP-A_mutation_bitflip,bitflip,two_point,elitist,tournament,0.6864671580304177,0.01834886434142107,0.6851347279416619,0.01604885088220835,228.8,13.516409779720846,175.28515728314719,28.914212087885176
EXP-A_mutation_swap,swap,two_point,elitist,tournament,0.6763686854883065,0.01748100586279564,0.6788937217013806,0.015139596608769797,208.86666666666667,10.772598984873097,166.7619537115097,24.645211222811874
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,0.6881620770472142,0.015176020348181031,0.6854401570882184,0.013351717542749312,235.06666666666666,11.730113194490306,180.73065116405488,26.575607403368597
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,0.6864671580304177,0.01834886434142107,0.6851347279416619,0.01604885088220835,228.8,13.516409779720846,173.65088583628338,28.433803151036734
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,0.7208244425939275,0.008431107962149149,0.715027712620249,0.007328922080616404,236.0,13.708877902050675,195.41045180161794,9.024353300282858
