experiment_name,transfer_type,topology,inertia_strategy,init_strategy,seed,accuracy,fitness,num_features,runtime_seconds
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,55,0.720514578681512,0.7067488350990752,292,254.95775532722473
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,56,0.7024485962088556,0.6896323080165414,298,157.9915907382965
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,57,0.718711523410549,0.7014117996409227,318,240.3144805431366
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,58,0.7256781336559839,0.7079674631475283,316,250.43966054916382
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,59,0.7197388533436906,0.7079078251521788,279,249.29809021949768
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,60,0.7349661925471762,0.7196124304353158,293,238.1496136188507
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,61,0.719740185289669,0.7053375953321307,297,227.02451372146606
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,62,0.7176770009691239,0.6983378723007829,333,283.68415546417236
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,63,0.7150936917440127,0.7028700368553258,285,223.49171352386475
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,64,0.7045139116429661,0.6930625204786696,287,167.01443243026733
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,65,0.6957422482076003,0.6827394519582689,304,149.47215175628662
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,66,0.7166419457493075,0.7044063226029481,284,221.5149323940277
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,67,0.7135465032955007,0.6990489958230935,302,160.66087818145752
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,68,0.7086446757057848,0.6926373509923491,316,200.68655467033386
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,69,0.7228364269110628,0.7069813556485279,305,244.2505660057068
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,70,0.7034801883691281,0.692846455246501,282,227.18909573554993
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,71,0.7011606044477405,0.6890445440029664,294,223.07137060165405
