experiment_name,transfer_type,topology,inertia_strategy,init_strategy,seed,accuracy,fitness,num_features,runtime_seconds
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,55,0.7269671909738815,0.7055561861622076,341,984.7455549240112
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,56,0.7130303742288698,0.6961559082345542,319,536.5393640995026
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,57,0.7096750691146768,0.6914218479174948,331,890.5056064128876
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,58,0.7045140448375639,0.6854912117823788,340,500.3108115196228
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,59,0.7300640985682647,0.709914831568581,330,843.9203333854675
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,60,0.7249034738749451,0.702841697916022,347,918.6646139621735
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,61,0.7341932642959095,0.7119167950091757,342,511.9331293106079
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,62,0.7145804929585344,0.6975510150912524,319,410.14775347709656
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,63,0.7094180035408452,0.690761917472475,334,354.32780170440674
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,64,0.7065792270770765,0.692064161512226,307,380.5066931247711
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,65,0.7223214965958125,0.7012322040790884,342,411.2070379257202
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,66,0.7083852126291921,0.6925466913662728,315,348.148964881897
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,67,0.718711523410549,0.6975546567837798,345,441.35437655448914
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,68,0.7047733747195588,0.6832960372476029,357,451.82413721084595
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,69,0.7107054625235687,0.6912063448426404,339,452.6168956756592
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,70,0.7238710825470855,0.7033411171495199,337,396.2044105529785
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,71,0.7070954893383052,0.6873859404044746,343,261.08775305747986
