experiment_name,transfer_type,topology,inertia_strategy,init_strategy,accuracy_mean,accuracy_std,fitness_mean,fitness_std,num_features_mean,num_features_std,runtime_mean,runtime_std
EXP-P1_transfer_sigmoid,sigmoid,gbest,linear_decay,sparse,0.7143468962728423,0.0105177216473457,0.6994074447407961,0.00833079419281,304.53333333333336,15.19371214973118,261.8508698701859,54.26181255817886
EXP-P1_transfer_vshaped,vshaped,gbest,linear_decay,sparse,0.6995690222397684,0.0092611334583741,0.6832311676348392,0.0057535875167747,324.6666666666667,44.16283002203952,281.5306895971298,63.75808088701376
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,0.7143468962728423,0.0105177216473457,0.6994074447407961,0.00833079419281,304.53333333333336,15.19371214973118,222.4774055719376,46.44077707532799
EXP-P2_topology_lbest,sigmoid,lbest,linear_decay,sparse,0.714786056621201,0.0092022299688891,0.7001931652447955,0.0071904600630647,301.8,21.726174690144298,222.55887615680692,36.17596029794991
EXP-P3_inertia_fixed,sigmoid,gbest,fixed,sparse,0.7115773232822914,0.0107701283310208,0.6984719719064433,0.009192430502742,293.6333333333333,16.09240676703008,261.8126349687576,46.83011463178284
EXP-P3_inertia_linear_decay,sigmoid,gbest,linear_decay,sparse,0.7143468962728423,0.0105177216473457,0.6994074447407961,0.00833079419281,304.53333333333336,15.19371214973118,286.30594221750897,60.87773820568052
EXP-P3_inertia_random,sigmoid,gbest,random,sparse,0.7162563873469393,0.0099469403191727,0.7014974152789121,0.0081540476370723,301.93333333333334,13.08162409217177,285.6268637418747,46.50250170500959
EXP-P4_init_sparse,sigmoid,gbest,linear_decay,sparse,0.7143468962728423,0.0105177216473457,0.6994074447407961,0.00833079419281,304.53333333333336,15.19371214973118,620.107907072703,126.1126983348222
EXP-P4_init_uniform,sigmoid,gbest,linear_decay,uniform,0.7155514149794905,0.0082747672398237,0.6958962734815419,0.0077231314882357,336.7,12.84562182223967,632.1847277879715,225.9839276687397
